medical_abstract,ans,question
"Characterization and histopathological correlation of cytosol proteins of benign and malignant breast tumors. Significant differences in cytosol protein level exist between normal/benign and cancerous breast tissues. There is a positive correlation between the cytosol protein level and histological grade of carcinoma. Well-differentiated carcinoma have a lower value of cytosol protein than poorly differentiated carcinoma. In slab gel electrophoregrams, the total numbers of bands are almost identical in normal, benign, and malignant conditions. In addition, 37 Kd protein band is consistently present in malignant cases and always absent in normal or benign cases. More extensive biophysical examination of this band may provide further insight into the protein alterations in cancer cells at the molecular level. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Rising incidence of adenocarcinoma of the esophagus and gastric cardia Analyses of cancer incidence data from nine areas of the United States revealed steadily rising rates from 1976 to 1987 of adenocarcinomas of the esophagus and gastric cardia. The increases among men in this period ranged from 4% to 10% per year, and thus exceeded those of any other type of cancer. In contrast, there were relatively stable trends for squamous cell carcinoma of the esophagus and slight declines for adenocarcinoma of more distal portions of the stomach. Adenocarcinomas of the esophagus and gastric cardia disproportionately affected white men and rarely occurred among women. By the mid-1980s, among white men, adenocarcinomas accounted for about one third of all esophageal cancers, while cardia cancers accounted for about one half of all stomach cancers with specified subsites. The rising incidence rates and similar demographic patterns point to the need for investigation into the causes of these poorly understood cancers. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"The impact of microinvasion on axillary node metastases and survival in patients with intraductal breast cancer. A rational approach to the local treatment of intraductal breast cancer continues to generate considerable debate. However, the finding of an invasive component in intraductal breast cancer is widely regarded as an appropriate indication for axillary node dissection as part of the local treatment and staging of this disease. Despite this view, the natural history of patients with intraductal breast cancer with foci of microinvasion is poorly defined. Between 1965 and 1988, 41 patients with this pathologic finding of intraductal carcinoma with foci of microinvasion were seen at the UCLA Medical Center. Twenty-three patients presented with mammographic abnormalities, while 17 patients presented with a palpable mass. One patient presented with Paget's disease of the nipple. Thirty-three patients underwent axillary node dissection as part of their local treatment. No lymph node metastases were identified. The median follow-up in 37 patients was 47 months. There have been no local recurrences and no deaths from recurrent breast cancer. Intraductal breast cancer associated with microinvasion appears to be an extremely favorable lesion with minimal risk of nodal metastases. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"The nursing role in limb salvage surgery. Limb salvage surgery has proven itself as a valuable option for sarcoma patients. The reconstruction options are vast and include metallic implants, allografts, and a combination of both. The nursing implications for these patients are unlimited. The patient needs to be educated and assessed closely for complications such as infections, nonunion of the allograft, and limited mobility. Although the nursing care is more complicated, the rewards with working with these patients are great. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Perforation and tumor formation of the intestine in primary amyloidosis. We report a case of primary amyloidosis with repeated bowel perforations. This patient also had localized amyloid deposition creating a tumorous region mimicking malignancy in the rectum. Perforation of the intestine is common in systemic amyloidosis. The ischemic change due to amyloid infiltration into the vessel wall may lead to perforation of the affected bowel. Amyloid tumors occur more often in localized amyloid than in systemic amyloidosis. Macroscopically, it is difficult to distinguish amyloid tumor of the intestine from neoplasia. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Needle aspiration and pressure sutures for auricular pseudocyst. Auricular pseudocyst is an asymptomatic cystic swelling of the upper portion of the auricle. Various therapeutic approaches have been employed with variable success. We report our results with nine patients treated by needle aspiration and bolstered pressure sutures applied over both aspects of the cyst for 1 week. Treatment resulted in complete resolution with no recurrence of the lesion in any of the patients. This procedure is simple, does not require an operating room setting, and is more comfortable and more acceptable aesthetically by the patient. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Vimentin expression appears to be associated with poor prognosis in node-negative ductal NOS breast carcinomas. Vimentin expression in tumors from 83 node-negative and 112 node-positive patients with infiltrative ductal not otherwise specified (NOS) breast carcinomas has been compared with 5-year survival. For node-negative, but not for node-positive patients, there was a significant inverse relation between vimentin expression and survival. Five-year survival of node-negative patients with vimentin-positive tumors was significantly worse compared with vimentin-negative tumors (P less than 0.0001). In the node-negative group, only 36% of patients with vimentin-positive tumors but 82% of patients with vimentin-negative tumors survived 5 years. Tumors of all eight node-negative patients with ductal NOS cancer who died in the first 27 months expressed vimentin. Multivariate analysis of the node-negative group showed a strong correlation of vimentin expression and overall survival, but weak and not significant correlation between histologic grade or size and overall survival at 5 years. Thus vimentin expression seems to be a strong indicator of poor prognosis in node-negative ductal NOS breast carcinomas. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Diagnostic accuracy and appropriateness of care for seborrheic keratoses. A pilot study of an approach to quality assurance for cutaneous surgery In 1985 there were more than 40 million visits for ambulatory surgical procedures in the United States. Although benign cutaneous lesions are among the most frequent conditions to receive surgical treatment in ambulatory settings, their treatment is seldom subject to peer review. In this pilot study we assessed diagnostic accuracy and appropriateness of care using information available from the surgical pathology laboratory. We assessed these two measures of physician performance for 527 seborrheic keratoses removed by 133 clinicians affiliated with four different institutions. Overall, a correct preoperative diagnosis was provided in only 49% of cases. Dermatologists had the highest diagnostic accuracy (61% vs 35% for all other physicians). An appropriate procedure for the actual pathological diagnosis was performed in only 50% of cases. Lesions with a correct preoperative diagnosis were more than eight times more likely to receive appropriate care. Our data suggest that many clinicians fail to note a correct diagnosis of common cutaneous lesions before surgical removal, and many patients are treated with procedures that are more invasive than necessary for the final pathological diagnosis. Because the approach used in this pilot study relies on data already available, it has promise as a low-cost method of monitoring the quality of care of ambulatory surgery. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Literacy and laryngectomy: how should one treat head and neck cancer in patients who cannot read or write? The entire population of otolaryngologists and radiation oncologists (N = 192) in active practice in the state of North Carolina were surveyed to assess their level of awareness of illiteracy among adults in the United States and to determine whether these physicians consider illiteracy in the treatment decision process for patients with head and neck cancer. Excluding respondents who did not treat patients with head and neck cancer and physicians practicing outside of the state of North Carolina, the response rate was 115 of 182, or 63%. Only 26% of respondents were able to estimate correctly the prevalence of illiteracy in the US adult population. Forty-one percent of respondents, however, stated that they did consider their patient's ability to read and/or write before making treatment recommendations for head and neck cancer. This survey and accompanying literature review suggest that physicians perceive illiteracy as a problem that may have a significant impact on patients with head and neck cancer, but lack the data needed to enable them to quantify the effect of illiteracy on treatment outcome. The study reported is the first step in examining ways in which illiteracy might negatively affect patient outcomes. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Central nervous system haemangioblastoma: a clinical and genetic study of 52 cases. Fifty two cases of haemangioblastoma were reviewed for their clinical, genetic and prognostic features. Of 34 patients with apparently isolated cerebellar lesions, postoperative outcome was good in 79%. Six isolated spinal lesions presented more insidiously and morbidity was related to incomplete resection. Twelve (23%) of the patients definitely had von Hippel-Lindau disease (VHLD). The true proportion may be higher as this diagnosis was not definitely excluded in many of the remainder; only ten patients with seemingly isolated cerebellar tumours were appropriately investigated and two had evidence of VHLD. Four out of 26 cases (15%) with apparently completely resected, isolated, cerebellar lesions later developed recurrent tumours. Brainstem and supratentorial haemangioblastomas were rare and were always associated with VHLD. The cerebellar or spinal haemangioblastomas due to VHLD had no distinctive clinical features compared with isolated tumours and there was considerable overlap in age of onset between the two groups of cases. All patients with an apparently isolated CNS haemangioblastoma should be investigated for evidence of von Hippel-Lindau disease. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
